APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CDKN2A	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	PTPN22	PTPRD	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
CDKN1B	-0.0395138310861513	-0.0198218197344987	-0.0191362977827012	-0.073982680643708	0.0603538537635177	0.0274023823418821	-0.152840403691979	-0.114572040464287	-0.0576094311366166	0.0313419946416924	0.000659899128297731	0	-0.0164235422050741	-0.0273730630835579	-0.0328854656057732	0.0133523059760801	0.0778910349074604	0.0387641825137993	0.0931586875017914	-0.0236891140890467	0	-0.04401794867855	-0.0661869315503392	0.0955083061390393	0.132430821040271	0.128423723276435	-0.0295296606040608	-0.0869555280019361
CDKN2A	-0.0884032422853171	-0.0978976050316622	0.0228129256777464	-0.0317322761804866	0.0545122679271192	0.00793414270885614	-0.146218074787859	-0.048535833469629	0.0137425132361104	0.00825778758197347	0.0102192383939392	0	0.0333443131412377	0.0965823921795168	-0.122119652133196	-0.108758349525846	0.00343595061288329	-0.067477763033303	-0.0227689187113753	-0.015369157690589	0	-0.156398883964306	0.0389480138515887	-0.053229059061475	-0.136313828166859	-0.00536577480332836	-0.00609014094592548	-0.120000899438352
CHEK1	-0.0710102550778853	-0.0121083851176909	0.103400289884159	-0.0719340835676312	-0.043484972616973	-0.0281586886137436	-0.0427617513794766	-0.00277713704470462	0.135753033257678	-0.119034238767543	-0.101480142910764	0	0.0374241301129104	-0.0855155989535428	0.0326178413557336	-0.180914420139219	-0.00371248207322744	-0.0892244315248736	-0.0127968431807878	-0.019342643574852	0	-0.00960946980690142	0.0480809650424095	0.00494976612587665	-0.0494032637924076	-0.0798229424155963	0.0202704030762685	0.0190189618740174
CTCF	-0.0175370447207073	0.0655398401372045	0.0558311334433795	0.0217441540911748	-0.073146742091016	-0.216709594021621	-0.143741286434099	-0.0605917789795431	-0.0279587677613386	-0.083482937490405	-0.0254187162998416	0	-0.0819226267197725	-0.0535091003229976	-0.00807758365893091	0.0192211376341554	-0.0595607464809534	-0.102137836693582	0.0268532970282265	0.0527798306830369	0	-0.0755119260640353	-0.0784384715720433	-0.0317542176236463	0.0211293124508381	-0.00399993572697128	-0.0838073353978366	-0.113504244443032
GATA3	0.105466799869941	-0.0349968555876549	0.00880565245967711	-0.0604390367353812	0.00661807895209473	-0.0565971515331432	-0.0414808259455855	-0.0954228027069012	0.126063103869165	-0.0382820299833374	-0.0162591711370516	0	-0.0617299387789335	0.047973967102882	-0.0312528249471412	0.000347192450497573	0.0667260606414397	0.060944187806686	0.136103617440425	-0.0214624626753437	0	-0.10324487404702	-0.0437865914648514	0.0180436005160237	0.0467331866598112	0.0650170215133069	0.0106574716564396	-0.12866217888027
MLH1	-0.0627528929801068	0.0356364620550237	0.0902020505569358	0.103468810291385	-0.042438876933364	0.000414402364567804	-0.08545495535358	0.0151196046005159	-0.0463556079604347	-0.132051329466424	-0.0750075854341584	0	-0.00838182253023961	-0.0219091994600761	-0.0017333443022429	-0.048913380457145	0.0684791510332168	-0.0484437628519807	-0.043009806495037	-0.0193686933292504	0	-0.0636586363458464	-0.109191922612676	0.0484619499368133	-0.00249044738075065	0.183322397459483	-0.0153426921310524	-0.0258037018451604
MLL2	0.0353911617335047	0.00240176713348028	-0.04303172992317	-0.0818113897416923	-0.0814284906343553	-0.0994989964627015	-0.0442279354702575	-0.093353614692911	0.0596738364917178	-0.0583535478415445	0.0779137487464207	0	-0.028395122198973	0.1279508394712	-0.00351806394240521	-0.0182528573785491	-0.0464093261281086	-0.0332643574279745	0.0264818762584972	0.0238892601949467	0	-0.0902174591022883	-0.0363852715782043	-0.0216705068868057	-0.0910631299776375	0.00143340687782835	0.0748091255849065	-0.104235906971057
MLL3	0.0481611675251068	-0.188088375043025	-0.0565745423483413	-0.104413658862454	0.0736376211836526	-0.155650594117411	-0.0714717971395445	-0.107651104983377	0.196154178612687	-0.0207409640545103	-0.0516986156458887	0	0.0947643248207418	0.0850533147559524	0.063501775556666	0.0425461713576886	-0.0847591911983819	0.0386067568902812	-0.0376613442071759	-0.0213836419156139	0	-0.171430066822966	-0.0933719006380008	0.0901523258155866	-0.0939294250676392	0.140599812579482	0.0638235426747816	-0.105307053320197
NCOR1	0.065696470025479	-0.0362353382299603	-0.0903001918933624	0.0273365495683529	0.111673278122452	0.0639461923871201	-0.0109987714818134	-0.0798642424756689	0.0252484317888991	0.147504412295981	0.0604104797540564	0	-0.0170698957954393	-0.0520242797809932	-0.0682232176978848	-0.0223209505346175	-0.0369232999490743	0.0132300323915245	0.0087607551220957	0.0231258462323251	0	-0.00845185600556015	-0.076747070943328	0.100473954795554	-0.0879164099945114	-0.0539491981181082	0.00293945235978775	-0.0195908783408227
NegCtrl	0.00925736717433657	-0.0471142173043074	-0.018630985886942	0.0243163082308149	0.000369712011011084	0.0137025805574995	-0.00110654851278396	-0.00839074958351504	-0.0221198873520805	0.00979499979456604	0.0121414287204056	0	-0.00113100957772247	-0.0221947525245375	0.0295034455504351	-0.00125295659096108	-0.029240053595989	0.000348704454505357	-0.0196236397748004	-0.0128428023026774	0	0.0169958927272471	0.0110388242057914	-0.0475450074804945	0.0223678190139984	-0.0351496635453397	-0.0479104736071126	-0.0403762916928345
