Perturbedgene	APC	ARID1A	ARID1B	ATM	BAP1	BID	BRCA1	BRCA2	CASP8	CDH1	CDKN1B	CHEK1	CTCF	GATA3	MLH1	NCOR1	NF1	PTEN	RAD51	RB1	RUNX1	SETD2	STK11	TP53	MKI67
CDKN1B	-0.0403894705635397	-0.00702613620046896	0.00316644213071919	-0.0625641663018049	0.0659992812294906	0.0374816512483147	-0.109719422078571	-0.0751385048659262	-0.0584190124404664	0.0333096011701541	0.0211641203717151	0.00301091723346091	-0.0036079362051061	-0.0287049457499618	0.0248131785252983	0.0872848869502191	0.0200766820527944	0.111311541327372	-0.0263480920814768	-0.0596935455927496	0.0880578006188206	0.0968705952110388	0.114561326777316	-0.00387962898848909	-0.0638312113645226
CDKN2A	-0.0759778666562416	-0.0673228086508535	0.0117194799130529	-0.0418788723168527	0.035841242071743	0.00894167530523393	-0.0886655797004317	-0.0286737618857022	0.0274242064262907	-0.00335129440545718	0.0312768899463463	0.0409742303349425	0.0782760799238693	-0.108431954921925	-0.0961950559596227	0.0197532868327073	-0.0610691896704045	-0.0241873384523378	-0.0777126694219037	0.0384820320605413	-0.060375803305326	-0.113394596046601	-0.0220124401646039	-0.0107407825133617	-0.0899302085900476
CHEK1	-0.0588780161181366	-0.0111667389434246	0.0761994714055796	-0.093962990011556	-0.0523865575554991	-0.0249751058888989	-0.0139243195027223	0.0149414647841755	0.105614581180346	-0.0792262103211869	-0.0576455552332675	0.0152706680382033	-0.0940230620452904	0.0537951298703364	-0.1513490969029	0.00112374635235729	-0.0852510181491654	-0.0118973798933605	-0.00602562411450342	0.050438807580915	0.00648779150136868	-0.0373398755310072	-0.0743269922463297	0.0278087513580471	0.0202724326532711
CTCF	0.0136143310086123	0.0686096647420069	0.0640659592219798	0.0291577597332802	-0.0750649601103067	-0.195162859579721	-0.121387356690203	-0.0359505817986416	-0.0144019457591016	-0.0530780504619554	-0.0170234855964417	-0.0626561178295065	-0.0388514449233091	-0.00237916920264909	0.0498514357735368	-0.0473527050542814	-0.0884792247686313	0.0309564825977894	-0.0494533034142401	-0.0643712629228914	-0.0214407519858155	0.0364422071607958	0.00740907635735614	-0.0594441598214277	-0.0799265481047892
GATA3	0.0988159375337225	-0.0240129048201884	0.0226489883407957	-0.0652217819810778	0.0040414644669876	-0.048666125914051	-0.0277405111237883	-0.0771471017822827	0.107407066393948	-0.0629780114241756	-0.00403883324919777	-0.0503091707174412	0.0532704249911565	-0.0393831137762658	-0.0127082988359987	0.0794459757452149	0.0555560661671629	0.133448018363241	-0.0455563671616478	-0.0228511612753661	0.0298745809808457	0.0200784246915625	0.0553426645275771	0.0320211196393359	-0.111105961268486
MLH1	-0.0505509288490368	0.0242665299503361	0.0748155482782266	0.0724963716204954	-0.0434266902619994	0.00734117982542555	-0.063841643987656	-0.00604996212897214	-0.0395387784269467	-0.118339940575468	-0.0506597559089514	-0.000582062914089171	-0.0139411999491258	0.00250261011568672	-0.0406032175337384	0.0742717724889309	-0.0245468697208905	-0.0230151029617701	-0.0309518096981968	-0.0922635525437391	0.051275020866759	0.00142948965945286	0.126121854881176	-0.0131831761936706	-0.00408960054749783
MLL2	0.0375270535728416	0.000169037958953961	-0.0131825611061842	-0.0714199914868402	-0.0799402837419582	-0.0934141090657174	-0.0496927685806214	-0.0636343142847459	0.0436850369558474	-0.0572267383265666	0.0735040974737714	-0.026356645750781	0.107362283249229	0.00905988754860462	-0.0129701713077182	-0.036623249912653	-0.0388248515590901	0.0391700569085866	-0.0451815690669608	-0.0188535528994668	-0.0291379724294295	-0.0621148487691549	-0.000701977031595795	0.0650363886911414	-0.084606385724529
MLL3	0.0179454754211637	-0.161671931543126	-0.0395237680290934	-0.0929522715209446	0.0759418663479439	-0.138862801605779	-0.0499714515715105	-0.0735002414408847	0.180452907667762	-0.0113626222682064	-0.0054520356457189	0.099336708903557	0.0672102979525989	0.0785357977845617	0.0532820512498957	-0.0748286330034672	0.0359946734373502	-0.0245002571361608	-0.0832243300381702	-0.0689814404236921	0.0739012451960413	-0.0716740182036935	0.153727734187944	0.0700048164343409	-0.0851764018830739
NCOR1	0.0740480371492675	-0.0222951134061141	-0.0871890276642428	0.000649343326508215	0.0830590197898222	0.059039997716682	0.0168776155175741	-0.0485659073075593	0.000433678212413372	0.140297053264997	0.0652463313885122	-0.00961658728477548	-0.0443188082227757	-0.0546461224834612	-0.0261326764153706	-0.0417740394269653	0.017863851310001	0.0171477499044015	-0.0167547164789232	-0.0518408347649445	0.109531758512291	-0.0758588459765508	-0.0498574360532688	0.00298197197023682	-0.00898045610905909
NegCtrl	-0.0426717756260306	-0.0862941497550708	-0.061799909375144	-0.0149496937913533	-0.0349787647813797	-0.0165850315037344	-0.0577940096205287	-0.083107132967686	-0.0567650314359985	-0.0439721643638961	-0.0584229223141192	-0.0431072528398772	-0.0673467250729426	-0.0212498501985364	-0.0523588129236283	-0.0546603672843304	-0.0294802139424781	-0.062519603002694	-0.109951193665314	-0.033953558999251	-0.0755263716760992	-0.0187900432007003	-0.0714796586631073	-0.088667483374217	-0.0912129134483173
