sgrna	gene_signature	LR_score	p_value
RAD51	TEST_SIGNATURE_3	0.0048571959217853	0.84
RB1	TEST_SIGNATURE_3	0.0634849169385544	0.013
RUNX1	TEST_SIGNATURE_3	0.00629270273822974	0.8
SETD2	TEST_SIGNATURE_3	0.00659949350228353	0.794
STK11	TEST_SIGNATURE_3	0.00929522102605088	0.637
TP53	TEST_SIGNATURE_3	0.152896842716833	0
APC	TEST_SIGNATURE_4	-0.0697559261131407	0.333
ARID1A	TEST_SIGNATURE_4	0.0368035120578815	0.568
ARID1B	TEST_SIGNATURE_4	0.0746822211468786	0.158
ATM	TEST_SIGNATURE_4	0.0861470725394225	0.161
BAP1	TEST_SIGNATURE_4	0.0857429228565802	0.213
BID	TEST_SIGNATURE_4	0.0592347694234956	0.354
BRCA1	TEST_SIGNATURE_4	-0.113776255099485	0.08
BRCA2	TEST_SIGNATURE_4	0.00483942487210842	0.945
CASP8	TEST_SIGNATURE_4	0.0488331631909149	0.435
CDH1	TEST_SIGNATURE_4	-0.00195992303959572	0.981
CDKN1B	TEST_SIGNATURE_4	0.111311541327372	0.085
CDKN2A	TEST_SIGNATURE_4	-0.0241873384523378	0.714
CHEK1	TEST_SIGNATURE_4	-0.0118973798933605	0.887
CTCF	TEST_SIGNATURE_4	0.0309564825977894	0.598
GATA3	TEST_SIGNATURE_4	0.133448018363241	0.027
MLH1	TEST_SIGNATURE_4	-0.0230151029617701	0.72
MLL2	TEST_SIGNATURE_4	0.0391700569085866	0.528
MLL3	TEST_SIGNATURE_4	-0.0245002571361608	0.728
NCOR1	TEST_SIGNATURE_4	0.0171477499044015	0.786
NegCtrl	TEST_SIGNATURE_4	-0.062519603002694	0.099
NF1	TEST_SIGNATURE_4	-0.0266730993933813	0.656
PTEN	TEST_SIGNATURE_4	-0.0758382601919265	0.137
PTPN22	TEST_SIGNATURE_4	0.0767814229692295	0.303
PTPRD	TEST_SIGNATURE_4	0.0132649678555671	0.827
RAD51	TEST_SIGNATURE_4	0.0034936060415967	0.955
RB1	TEST_SIGNATURE_4	-0.00551220185534534	0.93
RUNX1	TEST_SIGNATURE_4	0.0984963699279483	0.121
SETD2	TEST_SIGNATURE_4	0.0724784331575335	0.26
STK11	TEST_SIGNATURE_4	0.019809953199741	0.678
TP53	TEST_SIGNATURE_4	0.0571953400010802	0.195
APC	TEST_SIGNATURE_5	-0.0635753574842877	0.043
ARID1A	TEST_SIGNATURE_5	0.0115673625244514	0.648
ARID1B	TEST_SIGNATURE_5	-0.00138540935650413	0.963
ATM	TEST_SIGNATURE_5	0.013861700885469	0.579
BAP1	TEST_SIGNATURE_5	0.0042789142609718	0.874
BID	TEST_SIGNATURE_5	0.0285122521835126	0.301
BRCA1	TEST_SIGNATURE_5	-0.0391818303410959	0.134
BRCA2	TEST_SIGNATURE_5	-0.00636901828384934	0.819
CASP8	TEST_SIGNATURE_5	-0.00456247529329985	0.854
CDH1	TEST_SIGNATURE_5	-0.0278726469977112	0.3
CDKN1B	TEST_SIGNATURE_5	0.00427562728569647	0.866
CDKN2A	TEST_SIGNATURE_5	-0.0536089973390498	0.034
CHEK1	TEST_SIGNATURE_5	-0.0130076326919024	0.675
CTCF	TEST_SIGNATURE_5	-0.0070791634336908	0.784
GATA3	TEST_SIGNATURE_5	0.00258981546279252	0.906
MLH1	TEST_SIGNATURE_5	-0.0368662145243517	0.135
MLL2	TEST_SIGNATURE_5	-0.0057550697633909	0.838
MLL3	TEST_SIGNATURE_5	-0.00897763571271313	0.741
NCOR1	TEST_SIGNATURE_5	-0.0264453200476593	0.282
NegCtrl	TEST_SIGNATURE_5	-0.0560066037578847	0.544
NF1	TEST_SIGNATURE_5	-0.00848678430915392	0.749
PTEN	TEST_SIGNATURE_5	-0.0349242189482591	0.086
PTPN22	TEST_SIGNATURE_5	-0.00205481180576462	0.946
PTPRD	TEST_SIGNATURE_5	0.00417691762546956	0.878
RAD51	TEST_SIGNATURE_5	-0.00822236410397774	0.756
RB1	TEST_SIGNATURE_5	0.00758680481458493	0.778
RUNX1	TEST_SIGNATURE_5	-0.0255471609143968	0.345
SETD2	TEST_SIGNATURE_5	0.0256390513669017	0.36
STK11	TEST_SIGNATURE_5	-0.0188948811775489	0.353
TP53	TEST_SIGNATURE_5	0.130824927718623	0
